"","Index","Match_id","Captain_id","runs"
"1",1,335990,50,2
"2",2,335994,50,28
"3",3,335996,50,0
"4",4,335999,49,31
"5",5,336002,49,0
"6",6,336009,49,33
"7",7,336013,49,0
"8",8,336017,133,40
"9",9,336023,133,12
"10",10,336026,133,0
"11",11,336029,133,23
"12",12,336033,133,65
"13",13,336037,133,18
"14",14,336041,133,30
"15",15,392186,133,59
"16",16,392197,133,36
"17",17,392202,133,68
"18",18,392205,133,1
"19",19,392208,133,34
"20",20,392213,133,11
"21",21,392217,133,2
"22",22,392220,133,15
"23",23,392223,133,0
"24",24,392227,133,41
"25",25,392230,133,40
"26",26,392232,133,11
"27",27,392240,133,46
"28",28,419112,133,17
"29",29,419119,133,63
"30",30,419124,133,25
"31",31,419127,133,71
"32",32,419130,133,72
"33",33,419135,133,55
"34",34,419137,133,11
"35",35,419143,133,35
"36",36,419147,133,45
"37",37,419151,133,29
"38",38,419155,133,89
"39",39,419157,133,29
"40",40,419162,133,19
"41",41,419166,71,5
"42",42,419167,133,9
"43",43,419170,133,48
"44",44,501206,133,46
"45",45,501210,133,55
"46",46,501215,133,100
"47",47,501223,133,35
"48",48,501226,133,5
"49",49,501229,133,28
"50",50,501236,133,7
"51",51,501242,133,51
"52",52,501246,133,24
"53",53,501251,133,14
"54",54,501256,133,6
"55",55,501261,133,37
"56",56,501268,133,31
"57",57,501272,133,38
"58",58,501274,133,36
"59",59,501275,133,40
"60",60,548311,50,0
"61",61,548313,50,16
"62",62,548319,50,0
"63",63,548322,50,18
"64",64,548330,50,33
"65",65,548339,50,4
"66",66,548344,50,0
"67",67,548347,50,15
"68",68,548351,50,0
"69",69,548356,50,0
"70",70,548360,50,0
"71",71,548365,50,20
"72",72,548368,50,0
"73",73,548372,50,0
"74",74,548375,50,1
"75",75,548382,50,0
"76",76,548384,50,1
"77",77,598004,3,28
"78",78,598007,3,6
"79",79,598011,3,0
"80",80,598016,3,14
"81",81,598024,3,4
"82",82,598029,3,0
"83",83,829800,57,15
"84",84,829810,57,30
"85",85,829820,57,7
"86",86,829822,57,19
"87",87,829828,57,50
"88",88,980906,57,7
"89",89,980914,57,84
"90",90,980922,57,7
"91",91,980928,57,5
"92",92,980932,57,62
"93",93,980938,57,65
"94",94,980946,57,0
"95",95,980952,57,68
"96",96,980962,57,85
"97",97,980978,57,5
"98",98,980986,57,25
"99",99,980990,57,15
"100",100,980998,57,31
"101",101,981012,57,30
"102",102,729292,57,2
"103",103,729308,57,50
"104",104,729314,57,4
"105",105,729322,57,1
"106",106,733978,57,39
"107",107,733988,57,59
"108",108,734000,57,19
"109",109,734006,57,14
"110",110,734014,57,51
"111",111,734022,57,40
"112",112,734030,57,18
"113",113,734036,57,30
"114",114,734046,57,16
"115",115,734050,57,20
"116",116,829710,57,98
"117",117,829722,57,0
"118",118,829726,57,0
"119",119,829734,57,50
"120",120,829742,57,42
"121",121,829752,57,30
"122",122,829756,57,24
"123",123,829774,57,27
"124",124,829780,57,26
"125",125,829788,57,46
"126",126,829794,57,18
"127",127,598034,57,34
"128",128,598038,57,10
"129",129,598042,57,79
"130",130,598044,57,22
"131",131,598051,57,39
"132",132,598055,57,16
"133",133,598060,57,37
"134",134,598065,57,20
"135",135,598068,57,14
"136",136,598071,57,25
"137",137,598075,57,8
"138",138,598077,57,2
"139",139,598078,57,2
"140",140,729284,57,27
